name,gender,country,country_code,discipline,url,name_length
AALERUD Katrine,Female,Norway,NOR,Cycling Road,../../../en/results/cycling-road/athlete-profile-n1346266-aalerud-katrine.htm,15
ABAD Nestor,Male,Spain,ESP,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1355250-abad-nestor.htm,11
ABAGNALE Giovanni,Male,Italy,ITA,Rowing,../../../en/results/rowing/athlete-profile-n1321381-abagnale-giovanni.htm,17
ABALDE Alberto,Male,Spain,ESP,Basketball,../../../en/results/basketball/athlete-profile-n1322233-abalde-alberto.htm,14
ABALDE Tamara,Female,Spain,ESP,Basketball,../../../en/results/basketball/athlete-profile-n1322271-abalde-tamara.htm,13
ABALO Luc,Male,France,FRA,Handball,../../../en/results/handball/athlete-profile-n1350409-abalo-luc.htm,9
ABAROA Cesar,Male,Chile,CHI,Rowing,../../../en/results/rowing/athlete-profile-n1309960-abaroa-cesar.htm,12
ABASS Abobakr,Male,Sudan,SUD,Swimming,../../../en/results/swimming/athlete-profile-n1344792-abass-abobakr.htm,13
ABBAGNALE Vincenzo,Male,Italy,ITA,Rowing,../../../en/results/rowing/athlete-profile-n1331787-abbagnale-vincenzo.htm,18
ABBASALI Hamideh,Female,Islamic Republic of Iran,IRI,Karate,../../../en/results/karate/athlete-profile-n1284763-abbasali-hamideh.htm,16
ABBASOV Islam,Male,Azerbaijan,AZE,Wrestling,../../../en/results/wrestling/athlete-profile-n1433032-abbasov-islam.htm,13
ABBINGH Lois,Female,Netherlands,NED,Handball,../../../en/results/handball/athlete-profile-n1456949-abbingh-lois.htm,12
ABBOT Emily,Female,Australia,AUS,Rhythmic Gymnastics,../../../en/results/rhythmic-gymnastics/athlete-profile-n1349883-abbot-emily.htm,11
ABBOTT Monica,Female,United States of America,USA,Baseball/Softball,../../../en/results/baseball-softball/athlete-profile-n1310126-abbott-monica.htm,13
ABDALLA Abubaker Haydar,Male,Qatar,QAT,Athletics,../../../en/results/athletics/athlete-profile-n1328854-abdalla-abubaker-haydar.htm,23
ABDALRASOOL Mohamed,Male,Sudan,SUD,Judo,../../../en/results/judo/athlete-profile-n1898618-abdalrasool-mohamed.htm,19
ABDEL LATIF Radwa,Female,Egypt,EGY,Shooting,../../../en/results/shooting/athlete-profile-n1306332-abdel-latif-radwa.htm,17
ABDEL RAZEK Samy,Male,Egypt,EGY,Shooting,../../../en/results/shooting/athlete-profile-n1306339-abdel-razek-samy.htm,16
ABDELAAL Mohamed,Male,Egypt,EGY,Judo,../../../en/results/judo/athlete-profile-n1301765-abdelaal-mohamed.htm,16
ABDELAZIZ Abdalla,Male,Egypt,EGY,Karate,../../../en/results/karate/athlete-profile-n1306315-abdelaziz-abdalla.htm,17
ABDELAZIZ Farah,Female,Egypt,EGY,Table Tennis,../../../en/results/table-tennis/athlete-profile-n1296357-abdelaziz-farah.htm,15
ABDELAZIZ Feryal,Female,Egypt,EGY,Karate,../../../en/results/karate/athlete-profile-n1306348-abdelaziz-feryal.htm,16
ABDELMAWGOUD Mohamed,Male,Egypt,EGY,Judo,../../../en/results/judo/athlete-profile-n1301783-abdelmawgoud-mohamed.htm,20
ABDELMOTTALEB Diaaeldin Kamal Gouda,Male,Egypt,EGY,Wrestling,../../../en/results/wrestling/athlete-profile-n1307194-abdelmottaleb-diaaeldin-kamal-gouda.htm,35
ABDELRAHMAN Ihab,Male,Egypt,EGY,Athletics,../../../en/results/athletics/athlete-profile-n1312038-abdelrahman-ihab.htm,16
ABDELSALAM Mohamed,Male,Egypt,EGY,Football,../../../en/results/football/athlete-profile-n1381598-abdelsalam-mohamed.htm,18
ABDELSALAM Nour,Female,Egypt,EGY,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1313054-abdelsalam-nour.htm,15
ABDELWAHED Ahmed,Male,Italy,ITA,Athletics,../../../en/results/athletics/athlete-profile-n1305691-abdelwahed-ahmed.htm,16
ABDI Bashir,Male,Belgium,BEL,Athletics,../../../en/results/athletics/athlete-profile-n1401953-abdi-bashir.htm,11
ABDIRAHMAN Abdi,Male,United States of America,USA,Athletics,../../../en/results/athletics/athlete-profile-n1363139-abdirahman-abdi.htm,15
ABDUL HADI Farah Ann,Female,Malaysia,MAS,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1464004-abdul-hadi-farah-ann.htm,20
ABDUL RAHMAN Kiria Tikanah,Female,Singapore,SGP,Fencing,../../../en/results/fencing/athlete-profile-n1359420-abdul-rahman-kiria-tikanah.htm,26
ABDUL RAZZAQ Fathimath Nabaaha,Female,Maldives,MDV,Badminton,../../../en/results/badminton/athlete-profile-n1798789-abdul-razzaq-fathimath-nabaaha.htm,30
ABDULHAMID Saud,Male,Saudi Arabia,KSA,Football,../../../en/results/football/athlete-profile-n1484611-abdulhamid-saud.htm,15
ABDULJABBAR Ammar Riad,Male,Germany,GER,Boxing,../../../en/results/boxing/athlete-profile-n1327781-abduljabbar-ammar-riad.htm,22
ABDULLAEV Gulomjon,Male,Uzbekistan,UZB,Wrestling,../../../en/results/wrestling/athlete-profile-n1285960-abdullaev-gulomjon.htm,18
ABDULLAEV Muminjon,Male,Uzbekistan,UZB,Wrestling,../../../en/results/wrestling/athlete-profile-n1284000-abdullaev-muminjon.htm,18
ABDULLAH Rahmat Erwin,Male,Indonesia,INA,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1321507-abdullah-rahmat-erwin.htm,21
ABDULLAYEV Mahammad,Male,Azerbaijan,AZE,Boxing,../../../en/results/boxing/athlete-profile-n1436411-abdullayev-mahammad.htm,19
ABDULLIN Ilfat,Male,Kazakhstan,KAZ,Archery,../../../en/results/archery/athlete-profile-n1306001-abdullin-ilfat.htm,14
ABDULREDHA Mohamed,Male,Bahrain,BRN,Handball,../../../en/results/handball/athlete-profile-n1301070-abdulredha-mohamed.htm,18
ABDURAIMOV Elnur,Male,Uzbekistan,UZB,Boxing,../../../en/results/boxing/athlete-profile-n1312182-abduraimov-elnur.htm,16
ABDURAKHIMOV Rasuljon,Male,Uzbekistan,UZB,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1285163-abdurakhimov-rasuljon.htm,21
ABDURAKHMONOV Bekzod,Male,Uzbekistan,UZB,Wrestling,../../../en/results/wrestling/athlete-profile-n1285952-abdurakhmonov-bekzod.htm,20
ABE Hifumi,Male,Japan,JPN,Judo,../../../en/results/judo/athlete-profile-n1315347-abe-hifumi.htm,10
ABE Takatoshi,Male,Japan,JPN,Athletics,../../../en/results/athletics/athlete-profile-n1319304-abe-takatoshi.htm,13
ABE Uta,Female,Japan,JPN,Judo,../../../en/results/judo/athlete-profile-n1315319-abe-uta.htm,7
ABEBE Mekides,Female,Ethiopia,ETH,Athletics,../../../en/results/athletics/athlete-profile-n1450589-abebe-mekides.htm,13
ABEDINI Mojtaba,Male,Islamic Republic of Iran,IRI,Fencing,../../../en/results/fencing/athlete-profile-n1289091-abedini-mojtaba.htm,15
ABEL Jennifer,Female,Canada,CAN,Diving,../../../en/results/diving/athlete-profile-n1469699-abel-jennifer.htm,13
ABELA Matthew,Male,Malta,MLT,Badminton,../../../en/results/badminton/athlete-profile-n1284065-abela-matthew.htm,13
ABELVIK ROED Magnus,Male,Norway,NOR,Handball,../../../en/results/handball/athlete-profile-n1343652-abelvik-roed-magnus.htm,19
ABEYSINGHE Matthew,Male,Sri Lanka,SRI,Swimming,../../../en/results/swimming/athlete-profile-n1457675-abeysinghe-matthew.htm,18
ABIAN Pablo,Male,Spain,ESP,Badminton,../../../en/results/badminton/athlete-profile-n1354754-abian-pablo.htm,11
ABICHA Mohammed,Male,Morocco,MAR,Beach Volleyball,../../../en/results/beach-volleyball/athlete-profile-n1428701-abicha-mohammed.htm,15
