name,gender,medal_type,country,event,discipline,url
KIM Je Deok,Mixed,Gold ,Republic of Korea,Mixed Team,Archery,../../../en/results/archery/athlete-profile-n1440267-kim-je-deok.htm
AN San,Mixed,Gold ,Republic of Korea,Mixed Team,Archery,../../../en/results/archery/athlete-profile-n1338248-an-san.htm
SCHLOESSER Gabriela,Mixed,Silver ,Netherlands,Mixed Team,Archery,../../../en/results/archery/athlete-profile-n1458456-schloesser-gabriela.htm
WIJLER Steve,Mixed,Silver ,Netherlands,Mixed Team,Archery,../../../en/results/archery/athlete-profile-n1458465-wijler-steve.htm
ALVAREZ Luis,Mixed,Bronze ,Mexico,Mixed Team,Archery,../../../en/results/archery/athlete-profile-n1294470-alvarez-luis.htm
VALENCIA Alejandra,Mixed,Bronze ,Mexico,Mixed Team,Archery,../../../en/results/archery/athlete-profile-n1294484-valencia-alejandra.htm
CARAPAZ Richard,Male,Gold ,Ecuador,Men's Road Race,Cycling Road,../../../en/results/cycling-road/athlete-profile-n1473746-carapaz-richard.htm
van AERT Wout,Male,Silver ,Belgium,Men's Road Race,Cycling Road,../../../en/results/cycling-road/athlete-profile-n1393553-van-aert-wout.htm
POGACAR Tadej,Male,Bronze ,Slovenia,Men's Road Race,Cycling Road,../../../en/results/cycling-road/athlete-profile-n1429471-pogacar-tadej.htm
SZILAGYI Aron,Male,Gold ,Hungary,Men's Sabre Individual,Fencing,../../../en/results/fencing/athlete-profile-n1343521-szilagyi-aron.htm
SAMELE Luigi,Male,Silver ,Italy,Men's Sabre Individual,Fencing,../../../en/results/fencing/athlete-profile-n1312472-samele-luigi.htm
KIM Junghwan,Male,Bronze ,Republic of Korea,Men's Sabre Individual,Fencing,../../../en/results/fencing/athlete-profile-n1335688-kim-junghwan.htm
SUN Yiwen,Female,Gold ,People's Republic of China,Women's Individual,Fencing,../../../en/results/fencing/athlete-profile-n1392791-sun-yiwen.htm
POPESCU Ana Maria,Female,Silver ,Romania,Women's Individual,Fencing,../../../en/results/fencing/athlete-profile-n1290683-popescu-ana-maria.htm
LEHIS Katrina,Female,Bronze ,Estonia,Women's Individual,Fencing,../../../en/results/fencing/athlete-profile-n1374081-lehis-katrina.htm
TAKATO Naohisa,Male,Gold ,Japan,Men -60 kg,Judo,../../../en/results/judo/athlete-profile-n1315348-takato-naohisa.htm
YANG Yung Wei,Male,Silver ,Chinese Taipei,Men -60 kg,Judo,../../../en/results/judo/athlete-profile-n1431837-yang-yung-wei.htm
MKHEIDZE Luka,Male,Bronze ,France,Men -60 kg,Judo,../../../en/results/judo/athlete-profile-n1403680-mkheidze-luka.htm
SMETOV Yeldos,Male,Bronze ,Kazakhstan,Men -60 kg,Judo,../../../en/results/judo/athlete-profile-n1305206-smetov-yeldos.htm
KRASNIQI Distria,Female,Gold ,Kosovo,Women -48 kg,Judo,../../../en/results/judo/athlete-profile-n1330020-krasniqi-distria.htm
TONAKI Funa,Female,Silver ,Japan,Women -48 kg,Judo,../../../en/results/judo/athlete-profile-n1315316-tonaki-funa.htm
BILODID Daria,Female,Bronze ,Ukraine,Women -48 kg,Judo,../../../en/results/judo/athlete-profile-n1317083-bilodid-daria.htm
MUNKHBAT Urantsetseg,Female,Bronze ,Mongolia,Women -48 kg,Judo,../../../en/results/judo/athlete-profile-n1326832-munkhbat-urantsetseg.htm
FOROUGHI Javad,Male,Gold ,Islamic Republic of Iran,10m Air Pistol Men,Shooting,../../../en/results/shooting/athlete-profile-n1283897-foroughi-javad.htm
MIKEC Damir,Male,Silver ,Serbia,10m Air Pistol Men,Shooting,../../../en/results/shooting/athlete-profile-n1344914-mikec-damir.htm
PANG Wei,Male,Bronze ,People's Republic of China,10m Air Pistol Men,Shooting,../../../en/results/shooting/athlete-profile-n1302190-pang-wei.htm
YANG Qian,Female,Gold ,People's Republic of China,10m Air Rifle Women,Shooting,../../../en/results/shooting/athlete-profile-n1302186-yang-qian.htm
GALASHINA Anastasiia,Female,Silver ,ROC,10m Air Rifle Women,Shooting,../../../en/results/shooting/athlete-profile-n1428767-galashina-anastasiia.htm
CHRISTEN Nina,Female,Bronze ,Switzerland,10m Air Rifle Women,Shooting,../../../en/results/shooting/athlete-profile-n1465510-christen-nina.htm
DELL'AQUILA Vito,Male,Gold ,Italy,Men -58kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1334908-dell-aquila-vito.htm
JENDOUBI Mohamed Khalil,Male,Silver ,Tunisia,Men -58kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1376016-jendoubi-mohamed-khalil.htm
ARTAMONOV Mikhail,Male,Bronze ,ROC,Men -58kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1428978-artamonov-mikhail.htm
JANG Jun,Male,Bronze ,Republic of Korea,Men -58kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1330601-jang-jun.htm
WONGPATTANAKIT Panipak,Female,Gold ,Thailand,Women -49kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1467323-wongpattanakit-panipak.htm
CEREZO IGLESIAS Adriana,Female,Silver ,Spain,Women -49kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1351813-cerezo-iglesias-adriana.htm
BOGDANOVIC Tijana,Female,Bronze ,Serbia,Women -49kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1344571-bogdanovic-tijana.htm
SEMBERG Abishag,Female,Bronze ,Israel,Women -49kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1330457-semberg-abishag.htm
HOU Zhihui,Female,Gold ,People's Republic of China,Women's 49kg,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1342271-hou-zhihui.htm
MIRABAI Chanu Saikhom,Female,Silver ,India,Women's 49kg,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1303836-mirabai-chanu-saikhom.htm
AISAH Windy Cantika,Female,Bronze ,Indonesia,Women's 49kg,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1320668-aisah-windy-cantika.htm
KANG Chaeyoung,Female,Gold ,Republic of Korea,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1338245-kang-chaeyoung.htm
AN San,Female,Gold ,Republic of Korea,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1338248-an-san.htm
JANG Minhee,Female,Gold ,Republic of Korea,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1338252-jang-minhee.htm
OSIPOVA Elena,Female,Silver ,ROC,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1431749-osipova-elena.htm
PEROVA Ksenia,Female,Silver ,ROC,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1431750-perova-ksenia.htm
GOMBOEVA Svetlana,Female,Silver ,ROC,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1431746-gomboeva-svetlana.htm
SCHWARZ Charline,Female,Bronze ,Germany,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1395737-schwarz-charline.htm
UNRUH Lisa,Female,Bronze ,Germany,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1334159-unruh-lisa.htm
KROPPEN Michelle,Female,Bronze ,Germany,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1334170-kroppen-michelle.htm
KIESENHOFER Anna,Female,Gold ,Austria,Women's Road Race,Cycling Road,../../../en/results/cycling-road/athlete-profile-n1334466-kiesenhofer-anna.htm
van VLEUTEN Annemiek,Female,Silver ,Netherlands,Women's Road Race,Cycling Road,../../../en/results/cycling-road/athlete-profile-n1467954-van-vleuten-annemiek.htm
LONGO BORGHINI Elisa,Female,Bronze ,Italy,Women's Road Race,Cycling Road,../../../en/results/cycling-road/athlete-profile-n1404048-longo-borghini-elisa.htm
WANG Han,Female,Gold ,People's Republic of China,Women's Synchronised 3m Springboard,Diving,../../../en/results/diving/athlete-profile-n1329498-wang-han.htm
SHI Tingmao,Female,Gold ,People's Republic of China,Women's Synchronised 3m Springboard,Diving,../../../en/results/diving/athlete-profile-n1329428-shi-tingmao.htm
ABEL Jennifer,Female,Silver ,Canada,Women's Synchronised 3m Springboard,Diving,../../../en/results/diving/athlete-profile-n1469699-abel-jennifer.htm
CITRINI BEAULIEU Melissa,Female,Silver ,Canada,Women's Synchronised 3m Springboard,Diving,../../../en/results/diving/athlete-profile-n1469703-citrini-beaulieu-melissa.htm
HENTSCHEL Lena,Female,Bronze ,Germany,Women's Synchronised 3m Springboard,Diving,../../../en/results/diving/athlete-profile-n1350631-hentschel-lena.htm
PUNZEL Tina,Female,Bronze ,Germany,Women's Synchronised 3m Springboard,Diving,../../../en/results/diving/athlete-profile-n1350640-punzel-tina.htm
CANNONE Romain,Male,Gold ,France,Men's Individual,Fencing,../../../en/results/fencing/athlete-profile-n1351036-cannone-romain.htm
SIKLOSI Gergely,Male,Silver ,Hungary,Men's Individual,Fencing,../../../en/results/fencing/athlete-profile-n1343525-siklosi-gergely.htm
REIZLIN Igor,Male,Bronze ,Ukraine,Men's Individual,Fencing,../../../en/results/fencing/athlete-profile-n1483691-reizlin-igor.htm
KIEFER Lee,Female,Gold ,United States of America,Women's Foil Individual,Fencing,../../../en/results/fencing/athlete-profile-n1310067-kiefer-lee.htm
